# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
2.640024061893961e-09	0.6663703	-0.7123549	0.03281035	1e+10	-0.005865615
2.6500027865762444e-09	0.639032	-0.735557	0.023803508	1e+10	1.7508575e-06
2.660009477548538e-09	0.61912584	-0.75167465	0.0055116336	1e+10	0.0058826692
2.670016862595495e-09	0.61376953	-0.7534081	-0.014993665	1e+10	0.009513834
2.680024221025889e-09	0.62389994	-0.7389524	-0.029487845	1e+10	0.009505851
2.6900037314759742e-09	0.64506793	-0.7144849	-0.03250671	1e+10	0.005875956
2.7000109853586736e-09	0.670032	-0.6910747	-0.023049336	1e+10	-6.902304e-06
2.710018869591391e-09	0.69017875	-0.67883736	-0.00451947	1e+10	-0.0058874404
2.7200265317580986e-09	0.6969183	-0.68129057	0.015959334	1e+10	-0.009515704
2.730006149062087e-09	0.6858237	-0.69604164	0.030410713	1e+10	-0.009509371
2.740012676852119e-09	0.6608099	-0.7181065	0.03352735	1e+10	-0.0058714068
2.7500190673255466e-09	0.6324527	-0.7407611	0.02400092	1e+10	1.1980351e-05
2.7600257777369656e-09	0.6122606	-0.7562245	0.00515043	1e+10	0.005890948
2.7700056308058557e-09	0.6074765	-0.7575744	-0.015628316	1e+10	0.009511658
2.780012905813532e-09	0.6185765	-0.7430151	-0.030206673	1e+10	0.009508057
2.7900201001449707e-09	0.64062005	-0.7183924	-0.033222638	1e+10	0.0058676307
2.8000273338637373e-09	0.66604125	-0.69478905	-0.023660596	1e+10	-1.7174365e-05
2.810007357318078e-09	0.686387	-0.68235385	-0.0049190144	1e+10	-0.0058815917
2.8200148297598243e-09	0.69327134	-0.6845761	0.015876736	1e+10	-0.009513441
2.830022072562677e-09	0.68213004	-0.69906706	0.030426193	1e+10	-0.00950627
2.840001239982316e-09	0.6572771	-0.72052693	0.033175044	1e+10	-0.0058772224
2.850007550997979e-09	0.62960935	-0.7423928	0.02303724	1e+10	4.744432e-06
2.8600146049097915e-09	0.61099195	-0.7570386	0.0036018682	1e+10	0.005885274
2.8700220088777066e-09	0.608354	-0.7575121	-0.017600704	1e+10	0.009514829
2.8800018374668718e-09	0.6214602	-0.7417026	-0.03228517	1e+10	0.009510208
2.8900089348870724e-09	0.6450414	-0.71524274	-0.035215795	1e+10	0.00587331
2.900016091271841e-09	0.6714832	-0.68966436	-0.025222082	1e+10	-1.0110442e-05
2.9100236847044964e-09	0.6924864	-0.6757531	-0.005701871	1e+10	-0.0058898856
2.9200037952496513e-09	0.6996447	-0.67742336	0.015774772	1e+10	-0.009511302
2.9300111585464763e-09	0.6885528	-0.6921324	0.030786576	1e+10	-0.0095083965
2.940017601412582e-09	0.66350013	-0.7142321	0.03365095	1e+10	-0.005868902
2.950023963610215e-09	0.6356729	-0.73668313	0.023394229	1e+10	1.5056775e-05
2.9600031374239127e-09	0.61703956	-0.7516966	0.0037650445	1e+10	0.0058794473
2.9700105389384763e-09	0.61451703	-0.7522758	-0.017796604	1e+10	0.009512609
2.980017921859967e-09	0.62802076	-0.7361289	-0.03285007	1e+10	0.00950708
2.990025407156149e-09	0.6520705	-0.7091285	-0.035850327	1e+10	0.00586493
3.0000052323687143e-09	0.67876023	-0.68308574	-0.025648959	1e+10	-3.2875942e-06
3.0100128774898597e-09	0.6998319	-0.6688285	-0.0056652464	1e+10	-0.0058843964
3.0200205654657705e-09	0.70673215	-0.67063	0.016455656	1e+10	-0.009514551
3.0300001106920507e-09	0.6949023	-0.68604964	0.03200943	1e+10	-0.009510544
3.040006452325143e-09	0.6684361	-0.70938945	0.03534945	1e+10	-0.0058745723
3.0500127419123147e-09	0.6386925	-0.7332292	0.025252264	1e+10	8.005979e-06
3.0600195301664504e-09	0.6182334	-0.74955666	0.0053216843	1e+10	0.0058877757
3.0700267840410963e-09	0.61457324	-0.7512834	-0.016701488	1e+10	0.009515752
3.0800068986380474e-09	0.62749153	-0.73627925	-0.032162562	1e+10	0.009509224
3.090014250980337e-09	0.65131927	-0.7101766	-0.035511516	1e+10	0.0058706063
3.1000216012515556e-09	0.6779494	-0.6844818	-0.025469208	1e+10	-1.3572462e-05
3.11000137983454e-09	0.6988083	-0.6702074	-0.0055423174	1e+10	-0.0058785537
3.1200090585224997e-09	0.7054828	-0.67181194	0.016705617	1e+10	-0.009512322
3.130016200939621e-09	0.69319737	-0.6872797	0.03243144	1e+10	-0.009507415
3.140022829642752e-09	0.6661784	-0.7108596	0.035821542	1e+10	-0.0058662416
3.1500017763197586e-09	0.636099	-0.73500144	0.0257343	1e+10	1.1160946e-06
3.1600085383785794e-09	0.6154327	-0.7518296	0.0057458384	1e+10	0.005882192
