# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
3.0050160327863144e-09	0.68673384	-0.6771406	-0.016509999	1e+10	-0.003099749
3.010006102701596e-09	0.6960868	-0.67191565	-0.0057455376	1e+10	-0.005880954
3.0150237062977898e-09	0.70190436	-0.6707976	0.0056395316	1e+10	-0.008098916
3.0200137420084966e-09	0.7032565	-0.67361504	0.0163542	1e+10	-0.00951323
3.025003746061886e-09	0.69978744	-0.6798716	0.025385052	1e+10	-0.01
3.030021094272843e-09	0.6916666	-0.6889583	0.03190005	1e+10	-0.009506461
3.0350105977995697e-09	0.67982996	-0.6999809	0.035250347	1e+10	-0.008086254
3.040000052013438e-09	0.6655582	-0.7121012	0.035199296	1e+10	-0.005877826
3.045016992465013e-09	0.6503547	-0.7244419	0.031722065	1e+10	-0.0030800141
3.0500063556474615e-09	0.6360513	-0.73587686	0.025149824	1e+10	3.993371e-06
3.055023447801376e-09	0.6240289	-0.7455079	0.016009226	1e+10	0.0031041782
3.060013151569282e-09	0.61561114	-0.75223213	0.0052813957	1e+10	0.0058845356
3.065002932536701e-09	0.61143607	-0.75525063	-0.005994978	1e+10	0.008091253
3.0700205233107697e-09	0.61171985	-0.7539915	-0.016725078	1e+10	0.009514542
3.075010578343866e-09	0.61621165	-0.74838704	-0.02572374	1e+10	0.009999998
3.080000499518563e-09	0.6243087	-0.7389141	-0.032204486	1e+10	0.009510468
3.0850179379465536e-09	0.63524604	-0.72648734	-0.035605267	1e+10	0.00808354
3.090007735812477e-09	0.6479252	-0.712634	-0.035599537	1e+10	0.0058739195
3.095025140505775e-09	0.6614425	-0.69881666	-0.032173418	1e+10	0.0030751429
3.1000150290176405e-09	0.6746005	-0.68676627	-0.025635522	1e+10	-9.443009e-06
3.105004973685633e-09	0.6864051	-0.6776934	-0.01655039	1e+10	-0.0030931418
3.11002252741667e-09	0.6957898	-0.67239285	-0.005723932	1e+10	-0.005889298
3.1150126420744955e-09	0.70155954	-0.6712105	0.0056321477	1e+10	-0.008094836
3.1200026017427963e-09	0.7029005	-0.6739501	0.016403764	1e+10	-0.00951107
3.1250201412204213e-09	0.69936764	-0.68019253	0.025548434	1e+10	-0.009999992
3.1300097441066963e-09	0.6912181	-0.68920857	0.03209174	1e+10	-0.009508671
3.135026834534134e-09	0.6792158	-0.70030004	0.035516843	1e+10	-0.008080248
3.140016356337208e-09	0.6648234	-0.7124585	0.035499103	1e+10	-0.0058695353
3.145005730819906e-09	0.6495881	-0.724795	0.032068353	1e+10	-0.0030867453
3.1500228312078196e-09	0.6351053	-0.73638576	0.025472306	1e+10	1.4345266e-05
3.1550122646770392e-09	0.6230662	-0.74609035	0.016379962	1e+10	0.003097498
3.160001989552051e-09	0.6145655	-0.75298667	0.0056396173	1e+10	0.005878864
3.165019435406535e-09	0.61029285	-0.7562179	-0.005728569	1e+10	0.008097341
3.170009386105094e-09	0.6104879	-0.75517863	-0.016442997	1e+10	0.009512386
3.175026869272867e-09	0.6148976	-0.7497519	-0.02554475	1e+10	0.009999986
3.1800167367807862e-09	0.6228825	-0.74044603	-0.032079373	1e+10	0.009507311
3.185006745485057e-09	0.63363594	-0.7282098	-0.035530172	1e+10	0.008087678
3.1900241212072733e-09	0.6462718	-0.71433496	-0.035598833	1e+10	0.0058655846
3.1950138911867096e-09	0.6596303	-0.70057297	-0.032266997	1e+10	0.003081868
3.200003661685708e-09	0.67274284	-0.6884324	-0.025805807	1e+10	-2.3007049e-06
3.2050212393080104e-09	0.6846062	-0.67918646	-0.016722837	1e+10	-0.003102859
3.2100112215176364e-09	0.6939752	-0.67378354	-0.0059848996	1e+10	-0.0058835554
3.215001410976378e-09	0.6998304	-0.6724703	0.005361915	1e+10	-0.008090691
3.220018948983896e-09	0.70128757	-0.67511916	0.016195366	1e+10	-0.009514238
3.2250089238935242e-09	0.6979119	-0.6812273	0.025295917	1e+10	-0.009999999
3.230026167724161e-09	0.6898846	-0.6901846	0.031877488	1e+10	-0.009505471
