# t (s)	mx ()	my ()	mz ()	J-freq (Hz)
3.5500042057125027e-09	-0.00957418	-0.61003846	-0.0966849	1e+09
3.5600004691573465e-09	-0.071194075	-0.50618434	-0.04893562	1e+09
3.570004604425097e-09	-0.06852524	-0.44864607	0.046871834	1e+09
3.580003229458987e-09	0.022597048	-0.37770653	0.08642334	1e+09
3.5900011622897935e-09	0.07177742	-0.2672941	0.0231315	1e+09
3.6000056760015665e-09	0.042049214	-0.21999091	-0.0867712	1e+09
3.610002028745007e-09	-0.10310208	-0.25241902	-0.06342942	1e+09
3.62000802392364e-09	-0.06184053	-0.18044783	0.17326015	1e+09
3.6300086663355225e-09	0.19481336	-0.16878074	0.030720677	1e+09
3.6400117151736178e-09	-0.027197953	-0.112120755	-0.1862597	1e+09
3.650003444589186e-09	-0.10951054	-0.076899014	0.040233575	1e+09
3.6600010196534342e-09	0.04977824	-0.042271048	0.0051035075	1e+09
3.670008340843583e-09	-0.07281578	0.030214034	-0.008975739	1e+09
3.680007037936436e-09	0.043155707	0.06905405	0.047296718	1e+09
3.690005776660968e-09	0.03619708	0.09774805	-0.04328439	1e+09
3.700006094358481e-09	-0.060301606	0.14738977	-0.036477514	1e+09
3.7100116943766903e-09	0.06459718	0.19293612	0.1277043	1e+09
3.7200089419126377e-09	-0.00069397385	0.21896848	-0.18833348	1e+09
3.730003014871536e-09	-0.0765563	0.2592287	0.19649567	1e+09
3.740009278248805e-09	0.16719238	0.29230636	-0.17541908	1e+09
3.750010928695506e-09	-0.2341744	0.34941727	0.13076742	1e+09
3.760010750126767e-09	0.301466	0.37440684	-0.05591549	1e+09
3.770006839990669e-09	-0.31909987	0.4041533	-0.031362772	1e+09
3.780014226726451e-09	0.28495532	0.437452	0.11904632	1e+09
3.7900011236592365e-09	-0.19661859	0.47544855	-0.15204611	1e+09
3.800015194779348e-09	0.14771816	0.5161802	0.1731376	1e+09
3.810008596358834e-09	-0.06918409	0.54970646	-0.18502514	1e+09
3.820006474599372e-09	0.03990867	0.58231866	0.23180161	1e+09
3.830005139970343e-09	0.09636927	0.6156484	-0.2318223	1e+09
3.840007722597625e-09	-0.191134	0.62173474	0.16932054	1e+09
3.850007010672717e-09	0.26935273	0.6464175	-0.037618726	1e+09
3.860002261484602e-09	-0.17032017	0.6777885	-0.103995904	1e+09
3.870006096836882e-09	0.045812685	0.6784755	0.11678791	1e+09
3.880012694913432e-09	0.047506116	0.7126252	-0.015250455	1e+09
3.8900030396563535e-09	0.03229055	0.7243637	-0.020784872	1e+09
3.900008201739305e-09	-0.012828527	0.7204625	-0.07999362	1e+09
3.91000007189657e-09	-0.120637186	0.73734117	0.052454263	1e+09
3.920011199439705e-09	0.083904184	0.7513167	0.112218134	1e+09
3.930008650988032e-09	0.15819179	0.76375556	-0.06554159	1e+09
3.940011682621009e-09	-0.055259068	0.78748894	-0.11495337	1e+09
3.950011846901415e-09	-0.13272998	0.7766239	0.007655646	1e+09
3.9600042805099225e-09	-0.012764692	0.8044994	0.088827625	1e+09
3.970012241788218e-09	0.10063584	0.8038928	0.071006045	1e+09
3.980007627753315e-09	0.12581295	0.82043904	0.022850806	1e+09
3.9900001107298566e-09	0.09228313	0.8354906	-0.007103586	1e+09
4.000001198358708e-09	0.05921851	0.8238829	-0.0007465207	1e+09
4.0100012637002984e-09	0.050683383	0.7994089	0.020726096	1e+09
4.020011531818204e-09	0.055691972	0.7638732	0.05347662	1e+09
4.030009273510807e-09	0.05371165	0.69934994	0.09033632	1e+09
4.040007815364794e-09	0.0030679884	0.60351104	0.10380712	1e+09
4.050012277600253e-09	-0.10032453	0.46063715	0.050696053	1e+09
4.060015520965325e-09	-0.1597571	0.24863112	-0.077952184	1e+09
4.070011348068143e-09	-0.029204164	0.08616419	-0.18454619	1e+09
4.080000561130011e-09	0.16678333	0.0374453	-0.083446234	1e+09
4.090011918403455e-09	0.11600799	-0.015660092	0.1695352	1e+09
4.100014742326962e-09	-0.1752333	-0.024519736	0.08639019	1e+09
4.1100064211661974e-09	-0.06926717	-0.105627775	-0.21262796	1e+09
4.120000343487396e-09	0.2510196	-0.12430101	-0.038281802	1e+09
4.1300110366000924e-09	-0.0141896475	-0.17786412	0.2771524	1e+09
4.140004622372061e-09	-0.2621397	-0.17904046	-0.11966506	1e+09
4.15000749392054e-09	0.21336076	-0.21447489	-0.14555301	1e+09
4.160007024629294e-09	-0.0460267	-0.29137185	0.24418117	1e+09
4.170002123732467e-09	-0.12502538	-0.32366043	-0.19116488	1e+09
4.180014168949882e-09	0.20387438	-0.34770647	0.08319806	1e+09
4.19000460324773e-09	-0.19390643	-0.38599262	0.0187592	1e+09
4.200013218649132e-09	0.13992238	-0.42811236	-0.08394118	1e+09
4.210003398609276e-09	-0.062013775	-0.47433272	0.11923455	1e+09
4.220001674560893e-09	0.013727622	-0.5270806	-0.112305894	1e+09
4.230006842017031e-09	0.025873773	-0.55920374	0.10244573	1e+09
4.240004646867576e-09	-0.03472965	-0.6061441	-0.069215424	1e+09
4.250005103730799e-09	0.034820832	-0.6389182	0.031619344	1e+09
4.2600068457831775e-09	-0.031055892	-0.6735426	0.008557923	1e+09
4.270006499308795e-09	0.02222653	-0.69850826	-0.043394696	1e+09
4.280012385037106e-09	-0.006448373	-0.7361967	0.077783234	1e+09
4.290002126739548e-09	-0.0031434763	-0.7558031	-0.11136372	1e+09
4.300010636740215e-09	0.027360938	-0.79122305	0.12671214	1e+09
4.310009562922488e-09	-0.0729001	-0.8078548	-0.131146	1e+09
4.320010365742029e-09	0.1223213	-0.8321709	0.1253858	1e+09
4.330007068563517e-09	-0.187056	-0.8457929	-0.090589724	1e+09
4.340006281629837e-09	0.2171404	-0.8608648	0.025060508	1e+09
4.350000282079871e-09	-0.22231734	-0.87302905	0.06367458	1e+09
4.360010720144157e-09	0.1380011	-0.88430375	-0.15420783	1e+09
4.37001505255672e-09	0.009178312	-0.9002175	0.18969984	1e+09
4.3800108332689514e-09	-0.17419499	-0.90315706	-0.1256334	1e+09
4.390008627158612e-09	0.21766183	-0.90924394	-0.027548062	1e+09
4.400009194671787e-09	-0.064165756	-0.9265396	0.14295591	1e+09
4.410006486705159e-09	-0.1408794	-0.9283824	-0.08829042	1e+09
4.420009759725502e-09	0.12630226	-0.9280975	-0.07003641	1e+09
4.430011054343944e-09	0.08589858	-0.94245374	0.0749449	1e+09
4.440007042730453e-09	-0.08133138	-0.94482076	0.05705228	1e+09
4.450010014115626e-09	-0.09218256	-0.9401032	-0.019292263	1e+09
4.460010677680771e-09	-0.01888925	-0.94363505	-0.046783704	1e+09
4.4700130907346496e-09	0.034200765	-0.9494007	-0.037185624	1e+09
4.480003061202802e-09	0.051329847	-0.9471902	-0.024397504	1e+09
4.490009037027675e-09	0.07351236	-0.94979477	-0.026017018	1e+09
4.5000035808576444e-09	0.12086445	-0.9512452	-0.041413166	1e+09
4.510000432246793e-09	0.19710273	-0.9412465	-0.07724378	1e+09
4.5200138546095165e-09	0.30283022	-0.9000858	-0.15560505	1e+09
4.530011537069274e-09	0.4372976	-0.77797294	-0.30952865	1e+09
4.540013067523661e-09	0.51520586	-0.4833205	-0.5691368	1e+09
4.550013529128895e-09	0.20365366	-0.10346966	-0.84093493	1e+09
4.560014371038539e-09	-0.427631	-0.22309613	-0.70278776	1e+09
4.570001609519283e-09	-0.64000964	-0.41629678	-0.07541096	1e+09
4.580009169168274e-09	-0.27646628	-0.17306241	0.5222738	1e+09
4.590003639381358e-09	0.37991703	-0.2506782	0.3611139	1e+09
4.6000066436884865e-09	0.30853394	-0.19426528	-0.28520605	1e+09
4.610006619562178e-09	-0.34144735	-0.17700124	-0.25505584	1e+09
4.6200138765573164e-09	-0.20915957	-0.11100633	0.44963002	1e+09
4.6300054034209866e-09	0.50560105	-0.14764881	0.042344827	1e+09
4.640015523874233e-09	-0.13602023	-0.05815451	-0.5223215	1e+09
4.65001081338828e-09	-0.41120932	-0.055637646	0.34333974	1e+09
4.660011614522249e-09	0.4778216	-0.03071861	0.16268058	1e+09
4.670000583897328e-09	-0.16309318	0.047304735	-0.48250028	1e+09
4.680003000391292e-09	-0.23722036	0.06656612	0.38465223	1e+09
4.690005845137378e-09	0.3568412	0.06705295	-0.13444735	1e+09
4.700005405618143e-09	-0.35583982	0.11406294	-0.06429985	1e+09
4.71000721700508e-09	0.22842495	0.14919454	0.18832073	1e+09
4.720007623747464e-09	-0.12960291	0.19277264	-0.21967125	1e+09
4.730008764264373e-09	0.010379289	0.23721342	0.19655831	1e+09
4.740008607920125e-09	0.046643507	0.26075542	-0.17795843	1e+09
4.750001931770305e-09	-0.13954629	0.29297784	0.14136724	1e+09
4.76000092311195e-09	0.1732368	0.31697258	-0.04346027	1e+09
4.770012124448749e-09	-0.18686447	0.3512045	-0.08529988	1e+09
4.7800097434946755e-09	0.11966559	0.3810683	0.20519334	1e+09
4.79000107334979e-09	-0.016681429	0.43385988	-0.29641384	1e+09
4.800006592709772e-09	-0.13664816	0.4653209	0.30819112	1e+09
4.810015492452405e-09	0.28692725	0.50187963	-0.25011408	1e+09
4.820005700921617e-09	-0.406109	0.52135915	0.10309674	1e+09
4.83001368385808e-09	0.4109007	0.55351144	0.097752415	1e+09
